No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	解決ニーズ	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
667	＋α	仲介手数料 分譲マンション	42	10	削除	Know（不動産取引の手数料を知りたい）	分譲マンション・分譲住宅の仲介手数料を知りたい	住宅タイプ別	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	補足	解説記事
668	＋α	仲介手数料 別名	25	0	削除				解説		検索なし			対象外	不要	
669	＋α	仲介手数料 別の不動産	22	0	削除				解説		検索なし			対象外	不要	
670	＋α	仲介手数料 弁護士	27	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料のトラブルで弁護士に相談すべきか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
671	＋α	仲介手数料 勉強	46	0	削除				解説		検索なし			対象外	不要	
672	＋α	仲介手数料 別途	47	0	削除				解説		検索なし			対象外	不要	
673	＋α	仲介手数料 簿記	52	30	削除	Do（仲介手数料の会計処理を調べたい）	仲介手数料の会計処理を調べたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
674	＋α	仲介手数料 簿価	19	0	削除				解説		検索なし			対象外	不要	
675	＋α	仲介手数料 ぼったくられた	40	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を不当に高く取られた場合の対処法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
676	＋α	仲介手数料 パーセント	42	40	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料のパーセンテージ（%）を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
677	＋α	不動産 仲介手数料 パーセント	N/A	10	削除	Know（不動産取引の手数料を知りたい）	仲介手数料のパーセンテージ（%）を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
678	＋α	paypay 仲介手数料	33	20	削除	Do（仲介手数料の電子手続き・支払方法を知りたい）	仲介手数料をPayPayで支払えるか知りたい	手続き・対策	ハウツー	ガイド記事	支払い方法	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	補足	解説記事
679	＋α	パークダイレクト 仲介手数料	34	0	削除				解説		検索なし			対象外	不要	
680	＋α	パークアクシス 仲介手数料	N/A	10	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
681	＋α	パナソニックホームズ 仲介手数料	37	0	削除			特定企業	解説		検索なし			対象外	不要	
682	＋α	パナソニックホームズ 賃貸 仲介手数料	37	0	削除			特定企業	解説		検索なし			対象外	不要	
683	＋α	パナソニックホームズ不動産 仲介手数料	40	0	削除			特定企業	解説		検索なし			対象外	不要	
684	＋α	パシフィックホーム 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
685	＋α	パワーポート 仲介手数料	20	0	削除				解説		検索なし			対象外	不要	
686	＋α	仲介手数料 ピタットハウス	34	720	削除	Know（仲介手数料の概要を知りたい）		特定企業	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	不要	
687	＋α	ぴたっとハウス 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
688	＋α	ぴたっとはうす 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
689	＋α	ピタットハウス 仲介手数料 キャンペーン	17	50	削除	Know（仲介手数料の概要を知りたい）		特定企業	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	不要	
690	＋α	ピタットハウス 仲介手数料 無料	24	30	削除	Know（無料の不動産会社を探したい）		特定企業	比較・解説	解説記事	無料の仕組み	仲介手数料値引き		権威構築	不要	
691	＋α	ピタットハウス 仲介手数料 割引	27	20	削除	Know（手数料を安くする方法を知りたい）		特定企業	ハウツー	ガイド記事	割引方法	仲介手数料_交渉ガイド		権威構築	不要	
692	＋α	ピタットハウス 仲介手数料 高い	N/A	20	削除	Know（仲介手数料の金額を知りたい）		特定企業	解説	ガイド記事	金額	仲介手数料_金額別		権威構築	不要	
693	＋α	ピタットハウス 仲介手数料 交渉	N/A	20	削除	Do（手数料を値引き交渉したい）		特定企業	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド		権威構築	不要	
694	＋α	ピタットハウス 賃貸 仲介手数料	24	20	削除	Know（賃貸の手数料ルールを知りたい）		特定企業	解説	ガイド記事	賃貸特化	仲介手数料賃貸		権威構築	不要	
695	＋α	ピタットハウス 仲介手数料 半額	N/A	10	削除	Know（手数料を安くする方法を知りたい）		特定企業	ハウツー	ガイド記事	割引方法	仲介手数料値引き		権威構築	不要	
696	＋α	仲介手数料 プラス6万	25	0	削除				解説		検索なし			対象外	不要	
697	＋α	仲介手数料 3 プラス6万円	25	40	削除	Know（金額別の仲介手数料を知りたい）	6万円の物件の仲介手数料がいくらか知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
698	＋α	不動産 仲介手数料 プラス6万	N/A	0	削除				解説		検索なし			対象外	不要	
699	＋α	プライムコーポレーション 仲介手数料	34	30	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
700	＋α	プランドゥシー 仲介手数料	40	0	削除				解説		検索なし			対象外	不要	
701	＋α	プラスワン不動産 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
702	＋α	プラスホーム 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
703	＋α	プロパティバンク 仲介手数料	21	20	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
704	＋α	野村不動産 プラウド 仲介手数料	23	0	削除			特定企業	解説		検索なし			対象外	不要	
705	＋α	プレサンス 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
706	＋α	ペアラボ 仲介手数料	24	20	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
707	＋α	ペアローン 仲介手数料	22	0	削除				解説		検索なし			対象外	不要	
708	＋α	ペイペイ 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
709	＋α	仲介手数料 ポルトガル語	N/A	0	削除				解説		検索なし			対象外	不要	
710	＋α	仲介手数料 ポラス	43	0	削除				解説		検索なし			対象外	不要	
711	＋α	ポラス 仲介手数料 値引き	43	20	削除	Do（手数料を値引き交渉したい）	手数料を値引き交渉したい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料値引き	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
712	＋α	ポラスの賃貸 仲介手数料	26	20	削除	Know（賃貸の手数料ルールを知りたい）	賃貸の手数料ルールを知りたい	賃貸	解説	ガイド記事	賃貸特化	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
713	＋α	ポラス 中古 仲介手数料	N/A	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の基本的な仕組みを理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
714	＋α	ポラス 建売 仲介手数料	40	0	削除				解説		検索なし			対象外	不要	
715	＋α	ポラス 分譲 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
716	＋α	ポラスの分譲住宅 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
717	＋α	ポラス 仲介手数料 賃貸	26	0	削除				解説		検索なし			対象外	不要	
718	＋α	ポピンズシッター 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
719	＋α	l-home 仲介手数料	22	10	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
720	＋α	vision 不動産 仲介手数料	13	50	削除	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
