No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
759	＋α	不動産投資 パッケージ	32	0	削除			解説		検索なし			対象外	不要
760	＋α	不動産投資 パートナー	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
761	＋α	不動産投資 パターン	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
762	＋α	不動産投資 paypay5万円	N/A	0	削除			解説		検索なし			対象外	不要
763	＋α	不動産投資 騙 され た	31	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
764	＋α	不動産投資 pim	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
765	＋α	ピタットハウス 不動産投資	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
766	＋α	pivot 不動産投資	N/A	0	削除			解説		検索なし			対象外	不要
767	＋α	pim 不動産投資 営業	40	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
768	＋α	不動産投資 プロフィールシート テンプレート	20	40	計算ページ	Do（不動産投資を計算したい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
769	＋α	不動産投資 プロフィールシート エクセル	N/A	40	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
770	＋α	不動産投資 プロフィールシート	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
771	＋α	不動産投資 プレステージ	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
772	＋α	不動産投資 プレサンス	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
773	＋α	不動産投資 プロパーローン	N/A	50	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
774	＋α	不動産投資 プロパティエージェント	39	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
775	＋α	不動産投資 プレサンスコーポレーション	47	0	削除			解説		検索なし			対象外	不要
776	＋α	不動産投資 ペアローン	N/A	10	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
777	＋α	不動産投資 ペイペイ	31	0	削除			解説		検索なし			対象外	不要
778	＋α	不動産投資 ペット可	19	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
779	＋α	不動産投資 per	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
780	＋α	不動産投資 ペット	22	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
781	＋α	ペリカン 不動産投資	23	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
782	＋α	peファンド 不動産投資	29	0	削除			解説		検索なし			対象外	不要
783	＋α	ペーパーカンパニー 不動産投資	N/A	0	削除			解説		検索なし			対象外	不要
784	＋α	不動産投資 ポイント	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
785	＋α	不動産投資 ポイ活	38	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
786	＋α	不動産投資 ポータルサイト	26	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
787	＋α	不動産投資 ポイントサイト	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
788	＋α	不動産投資 ポートフォリオ	28	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
789	＋α	不動産投資 ポイ活 断り方	34	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
790	＋α	不動産投資 ポイント目当て	N/A	0	削除			解説		検索なし			対象外	不要
791	＋α	不動産投資 ポンジ・スキーム	N/A	0	削除			解説		検索なし			対象外	不要
792	＋α	不動産投資 cm	43	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
793	＋α	不動産投資 camel	42	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
794	＋α	不動産投資 cfとは	28	10	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
795	＋α	不動産投資 減価償却 節税	33	90	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
796	＋α	不動産投資 ccr	19	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
797	＋α	不動産投資 lp	34	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
798	＋α	不動産投資 ltv	26	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
799	＋α	不動産投資 ltvとは	N/A	0	削除			解説		検索なし			対象外	不要
800	＋α	不動産投資 ccr 目安	22	30	記事	Know（不動産投資の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	不動産投資_相場ガイド		権威構築	補足
